ID;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;On sale (0/1);Reference #;Show price;url_image;
"68";"1";"Barra Recta Preolímpica";"32";"13436.974790";"53";"0";"BPR150";"1";"https://pesaschile.cl/2/img/p/1/5/6/156-thickbox_default.jpg";
"69";"1";"Barra Romana Preolímpica";"2";"16798.319328";"53";"0";"BPRO";"1";"https://pesaschile.cl/2/img/p/1/5/7/157-thickbox_default.jpg";
"70";"1";"Barra W Preolímpica";"32";"12596.638656";"53";"0";"BPW";"1";"https://pesaschile.cl/2/img/p/1/5/9/159-thickbox_default.jpg";
"71";"1";"Barra Z Preolímpica";"2";"10915.966387";"53";"0";"BPZ";"1";"https://pesaschile.cl/2/img/p/7/8/3/783-thickbox_default.jpg";
"83";"1";"Par Discos Mastodonte 2,5Kg";"32";"4201.680672";"53";"0";"DPM025";"1";"https://pesaschile.cl/2/img/p/4/1/0/410-thickbox_default.jpg";
"84";"1";"Par Discos Mastodonte 1,25Kg";"32";"2100.840336";"53";"0";"DPM0125";"1";"https://pesaschile.cl/2/img/p/4/0/8/408-thickbox_default.jpg";
"85";"1";"Par Discos Mastodonte 5Kg";"32";"8403.361345";"53";"0";"DPM05";"1";"https://pesaschile.cl/2/img/p/4/0/9/409-thickbox_default.jpg";
"87";"1";"Barra Olímpica Eco";"2";"37806.722689";"53";"0";"BORE";"1";"https://pesaschile.cl/2/img/p/1/3/8/138-thickbox_default.jpg";
"87";"1";"Barra Olímpica Eco";"2";"37806.722689";"53";"0";"BORE";"1";"https://pesaschile.cl/2/img/p/3/5/4/354-thickbox_default.jpg";
"87";"1";"Barra Olímpica Eco";"2";"37806.722689";"53";"0";"BORE";"1";"https://pesaschile.cl/2/img/p/7/4/8/748-thickbox_default.jpg";
"87";"1";"Barra Olímpica Eco";"2";"37806.722689";"53";"0";"BORE";"1";"https://pesaschile.cl/2/img/p/7/4/9/749-thickbox_default.jpg";
"88";"1";"Banco Scott JR";"13";"109235.294118";"53";"0";"UB006J";"1";"https://pesaschile.cl/2/img/p/1/5/1/5/1515-thickbox_default.jpg";
"88";"1";"Banco Scott JR";"13";"109235.294118";"53";"0";"UB006J";"1";"https://pesaschile.cl/2/img/p/1/5/1/6/1516-thickbox_default.jpg";
"90";"1";"Barra Z Olímpica ";"2";"33605.042017";"53";"0";"BOZ";"1";"https://pesaschile.cl/2/img/p/3/1/8/318-thickbox_default.jpg";
"91";"1";"Collarines HWM";"2";"8394.957983";"53";"0";"CO";"1";"https://pesaschile.cl/2/img/p/1/1/2/3/1123-thickbox_default.jpg";
"91";"1";"Collarines HWM";"2";"8394.957983";"53";"0";"CO";"1";"https://pesaschile.cl/2/img/p/1/1/2/4/1124-thickbox_default.jpg";
"92";"1";"Par Discos Acero Olímpicos 2,5Kg ";"18";"5529.411765";"53";"0";"DOA025";"1";"https://pesaschile.cl/2/img/p/1/7/5/0/1750-thickbox_default.jpg";
"93";"1";"Par Discos Acero Olímpicos 5kg";"18";"10907.563025";"53";"0";"DOA05";"1";"https://pesaschile.cl/2/img/p/1/1/2/5/1125-thickbox_default.jpg";
"94";"1";"Par DiscosAcero Olímpicos 10Kg";"18";"21831.932773";"53";"0";"DOA10";"1";"https://pesaschile.cl/2/img/p/6/3/6/636-thickbox_default.jpg";
"94";"1";"Par DiscosAcero Olímpicos 10Kg";"18";"21831.932773";"53";"0";"DOA10";"1";"https://pesaschile.cl/2/img/p/1/1/7/6/1176-thickbox_default.jpg";
