ID;ID_LANG;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Quantity;Short description;Description;Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order;Product creation date;Show price;Available online only;Condition;url_image;
"34";"3";"1";"Chaleco de lastre 15kg";"2";"26882.352941";"53";"0.000000";"0";"CL15";"0";"Chaleco de lastrado con 15kg. No regulable.";"Excelente Calidad (Fabricaci&oacute;n chilena)Carga Distribuida de forma homog&eacute;nea para mayor comodidad.Ajustable a cualquier tipo de cuerpo.";"";"";"";"chaleco-de-lastre-15kg";"";"";"1";"2014-03-24 03:12:40";"1";"0";"new";"http://pesaschile.cl/2/img/p/9/1/91-thickbox_default.jpg";
"35";"1";"1";"Chaleco de lastre 20kg";"2";"31084.033613";"53";"0.000000";"0";"CL20";"0";"";"";"";"";"";"chaleco-de-lastre-20kg";"";"";"1";"2014-03-24 03:15:04";"1";"0";"new";"http://pesaschile.cl/2/img/p/9/2/92-thickbox_default.jpg";
"35";"3";"1";"Chaleco de lastre 20kg";"2";"31084.033613";"53";"0.000000";"0";"CL20";"0";"Chaleco de lastrado con 20kg. No regulable.";"Excelente Calidad (Fabricaci&oacute;n chilena)Carga Distribuida de forma homog&eacute;nea para mayor comodidad.Ajustable a cualquier tipo de cuerpo.";"";"";"";"chaleco-de-lastre-20kg";"";"";"1";"2014-03-24 03:15:04";"1";"0";"new";"http://pesaschile.cl/2/img/p/9/2/92-thickbox_default.jpg";
"38";"1";"1";"Pesos Tobillo muñeca 6kg (2 unidades)";"2";"5873.949580";"53";"0.000000";"0";"PM2";"0";"";"";"";"";"";"pesos-tobillo-muneca-6kg-2-unidades";"";"";"1";"2014-03-24 03:24:25";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/7/697-thickbox_default.jpg";
"38";"1";"1";"Pesos Tobillo muñeca 6kg (2 unidades)";"2";"5873.949580";"53";"0.000000";"0";"PM2";"0";"";"";"";"";"";"pesos-tobillo-muneca-6kg-2-unidades";"";"";"1";"2014-03-24 03:24:25";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/8/698-thickbox_default.jpg";
"38";"3";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"5873.949580";"53";"0.000000";"0";"PM2";"0";"Pesos Tobillo mu&ntilde;eca 4kg Total (2 unidades)";"Excelente Calidad Con bandas ajustable Incluye 2 Pesos de 2kg";"";"";"";"pesos-tobillo-muneca-6kg-2-unidades";"";"";"1";"2014-03-24 03:24:25";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/7/697-thickbox_default.jpg";
"38";"3";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"5873.949580";"53";"0.000000";"0";"PM2";"0";"Pesos Tobillo mu&ntilde;eca 4kg Total (2 unidades)";"Excelente Calidad Con bandas ajustable Incluye 2 Pesos de 2kg";"";"";"";"pesos-tobillo-muneca-6kg-2-unidades";"";"";"1";"2014-03-24 03:24:25";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/8/698-thickbox_default.jpg";
"43";"1";"1";"Punching Bag Grande";"2";"25201.680672";"53";"0.000000";"0";"DCPG";"0";"";"";"";"";"";"punching-bag-grande";"";"";"1";"2014-03-24 22:39:42";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/3/9/1239-thickbox_default.jpg";
"43";"3";"1";"Punching Bag Grande";"2";"25201.680672";"53";"0.000000";"0";"DCPG";"0";"Punching bag grande excelente calidad";"- Incluye cadena met&aacute;lica para colgar- Relleno de aserr&iacute;n- Tela de alta resistencia- Costuras reforzadas- Alto: 100cm.- Peso: 22kg";"";"";"";"punching-bag-grande";"";"";"1";"2014-03-24 22:39:42";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/2/3/9/1239-thickbox_default.jpg";
"48";"1";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"";"";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/7/1437-thickbox_default.jpg";
"48";"1";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0.000000";"0";"CSP";"0";"";"";"";"";"";"cuerda-de-salto-con-rodamientos";"";"";"1";"2014-03-25 23:40:20";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/3/8/1438-thickbox_default.jpg";
