"ID";"Active (0/1)";"Name";"Default Category";"Tax rules ID";"Reference #";"url_image"
"60";"1";"Push Up Promachine";"2";"1";"PUP";"https://pesaschile.cl/2/img/p/1/4/0/3/1403-thickbox_default.jpg"
"60";"1";"Push Up Promachine";"2";"1";"PUP";"https://pesaschile.cl/2/img/p/1/4/0/4/1404-thickbox_default.jpg"
"61";"1";"Push Up metalico";"2";"1";"PUM";"https://pesaschile.cl/2/img/p/1/4/1/4/1414-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/1/3/1/131-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/7/2/9/729-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/7/3/0/730-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/4/744-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/5/745-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/6/746-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/7/747-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/1/1/1/4/1114-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/1/1/1/5/1115-thickbox_default.jpg"
"67";"1";"Barra Mancuerna Preolímpica";"2";"1";"BPM";"https://pesaschile.cl/2/img/p/1/4/6/0/1460-thickbox_default.jpg"
"67";"1";"Barra Mancuerna Preolímpica";"2";"1";"BPM";"https://pesaschile.cl/2/img/p/1/4/6/1/1461-thickbox_default.jpg"
"68";"1";"Barra Recta Preolímpica";"32";"1";"BPR150";"https://pesaschile.cl/2/img/p/1/5/6/156-thickbox_default.jpg"
"69";"1";"Barra Romana Preolímpica";"2";"1";"BPRO";"https://pesaschile.cl/2/img/p/1/5/7/157-thickbox_default.jpg"
"70";"1";"Barra W Preolímpica";"32";"1";"BPW";"https://pesaschile.cl/2/img/p/1/5/9/159-thickbox_default.jpg"
"71";"1";"Barra Z Preolímpica";"2";"1";"BPZ";"https://pesaschile.cl/2/img/p/7/8/3/783-thickbox_default.jpg"
