"Product ID";"Imagen";"Nombre";"Referencia";"CategorÃ­a";"Precio (imp. incl.)";"Cantidad";"Estado";"Iva"
"622";"https://pesaschile.cl/clon/2/img/p/1/5/8/9/1589.jpg";"Press Banco Vertical MO";"MO-4400";"Maquinas Alto Trafico OBELIX";"399990";"3";"0";"1"
"621";"https://pesaschile.cl/clon/2/img/p/1/5/8/8/1588.jpg";"ElevaciÃ³n Rodillas / Fondo MO";"MO-800";"Maquinas Alto Trafico OBELIX";"349990";"2";"0";"1"
"620";"https://pesaschile.cl/clon/2/img/p/1/6/1/8/1618.jpg";"Press Banco Declinado MO";"MO-4300";"Maquinas Alto Trafico OBELIX";"399990";"4";"0";"1"
"619";"https://pesaschile.cl/clon/2/img/p/1/6/1/9/1619.jpg";"Banco Vertical MO";"MO-550";"Maquinas Alto Trafico OBELIX";"199990";"2";"0";"1"
"618";"https://pesaschile.cl/clon/2/img/p/1/5/8/6/1586.jpg";"Remo Sentado MO";"MO-3620";"Maquinas Alto Trafico OBELIX";"899990";"0";"1";"1"
"617";"https://pesaschile.cl/clon/2/img/p/1/5/8/5/1585.jpg";"Remo Bajo MO";"MO-3600";"Maquinas Alto Trafico OBELIX";"899990";"3";"0";"1"
"616";"https://pesaschile.cl/clon/2/img/p/1/5/8/4/1584.jpg";"Curl de BÃ­ceps MO";"MO-2500";"Maquinas Alto Trafico OBELIX";"899990";"2";"0";"1"
"615";"https://pesaschile.cl/clon/2/img/p/1/7/4/7/1747.jpg";"ExtensiÃ³n de TrÃ­ceps MO";"MO-2630";"Maquinas Alto Trafico OBELIX";"899990";"2";"0";"1"
"614";"https://pesaschile.cl/clon/2/img/p/1/7/4/8/1748.jpg";"Curl Femoral Acostado MO";"MO-5720";"Maquinas Alto Trafico OBELIX";"899990";"2";"0";"1"
"613";"https://pesaschile.cl/clon/2/img/p/1/6/4/5/1645.jpg";"Pack discos OlÃ­mpicos engomados";"PE";"Pack y Promociones";"169990";"74";"0";"1"
"612";"https://pesaschile.cl/clon/2/img/p/1/5/7/2/1572.jpg";"Botella Shaker 0.6 Lts";"BS";"Funcional y crossfit";"1990";"43";"0";"1"
"609";"https://pesaschile.cl/clon/2/img/p/1/5/7/3/1573.jpg";"Pack Power Black";"PPB";"Pack y Promociones";"444990";"9";"0";"1"
"604";"https://pesaschile.cl/clon/2/img/p/1/5/3/7/1537.jpg";"Bicicleta MagnÃ©tica Obelix";"BPO";"Maquinas Alto Trafico OBELIX";"599990";"10";"0";"1"
"602";"https://pesaschile.cl/clon/2/img/p/1/5/3/6/1536.jpg";"ElÃ­ptica Obelix ";"EPO";"Maquinas Alto Trafico OBELIX";"1299990";"5";"0";"1"
"601";"https://pesaschile.cl/clon/2/img/p/1/5/1/2/1512.jpg";"Polea Alta Remo JR";"PM020J";"Productos";"199990";"2";"0";"1"
"600";"https://pesaschile.cl/clon/2/img/p/1/5/1/0/1510.jpg";"Jaula de Potencia JR";"PK001J";"Productos";"199990";"1";"0";"1"
"599";"https://pesaschile.cl/clon/2/img/p/1/5/0/9/1509.jpg";"Atril de Sentadillas JR";"RA033J";"Equipamiento";"69990";"0";"1";"1"
"598";"https://pesaschile.cl/clon/2/img/p/1/6/4/3/1643.jpg";"SANDBAG 5KG";"SB05";"Productos";"26990";"0";"1";"1"
"597";"https://pesaschile.cl/clon/2/img/p/1/5/0/3/1503.jpg";"Prensa Inclinada 45Â° T8";"T8-609";"Maquinas Alto Trafico OBELIX";"1199990";"0";"1";"1"
"596";"https://pesaschile.cl/clon/2/img/p/1/4/8/6/1486.jpg";"Polea Cruzada V8";"V8-513";"Maquinas Alto Trafico OBELIX";"1699990";"1";"0";"1"
"595";"https://pesaschile.cl/clon/2/img/p/1/4/8/5/1485.jpg";"Multi EstaciÃ³n Funcional V8";"V8-512";"Maquinas Alto Trafico OBELIX";"1999990";"0";"1";"1"
"594";"https://pesaschile.cl/clon/2/img/p/1/4/9/1/1491.jpg";"MÃ¡quina Smith V8";"V8-518";"Maquinas Alto Trafico OBELIX";"1799990";"2";"0";"1"
"593";"https://pesaschile.cl/clon/2/img/p/1/5/0/2/1502.jpg";"Banco Lumbar V8";"V8-303";"Maquinas Alto Trafico OBELIX";"399990";"2";"0";"1"
"592";"https://pesaschile.cl/clon/2/img/p/1/5/0/1/1501.jpg";"Pantorrillera V8";"V8-302";"Maquinas Alto Trafico OBELIX";"399990";"0";"1";"1"
"591";"https://pesaschile.cl/clon/2/img/p/1/5/0/0/1500.jpg";"MÃ¡quina ElevaciÃ³n Rodillas / Fondo V8";"V8-301";"Maquinas Alto Trafico OBELIX";"399990";"0";"1";"1"
"590";"https://pesaschile.cl/clon/2/img/p/1/4/9/9/1499.jpg";"Banco Plano V8";"V8-202";"Maquinas Alto Trafico OBELIX";"199990";"5";"0";"1"
"589";"https://pesaschile.cl/clon/2/img/p/1/4/9/8/1498.jpg";"ATRIL DE SENTADILLAS V8";"V8-108";"Maquinas Alto Trafico OBELIX";"499990";"3";"0";"1"
"588";"https://pesaschile.cl/clon/2/img/p/1/4/9/7/1497.jpg";"Press Banco Inclinado V8";"V8-105";"Maquinas Alto Trafico OBELIX";"499990";"4";"0";"1"
"587";"https://pesaschile.cl/clon/2/img/p/1/4/9/6/1496.jpg";"Press Banco Plano V8";"V8-104";"Maquinas Alto Trafico OBELIX";"399990";"2";"0";"1"
"586";"https://pesaschile.cl/clon/2/img/p/1/4/9/5/1495.jpg";"Banco Scott V8";"V8-103";"Maquinas Alto Trafico OBELIX";"399990";"3";"0";"1"
"585";"https://pesaschile.cl/clon/2/img/p/1/4/9/4/1494.jpg";"Banco Inclinable / Declinable V8";"V8-102";"Maquinas Alto Trafico OBELIX";"399990";"4";"0";"1"
"584";"https://pesaschile.cl/clon/2/img/p/1/4/9/3/1493.jpg";"Banco Abdominal V8";"V8-101";"Maquinas Alto Trafico OBELIX";"399990";"5";"0";"1"
"583";"https://pesaschile.cl/clon/2/img/p/1/4/9/2/1492.jpg";"MÃ¡quina Remo Bajo V8";"V8-523";"Maquinas Alto Trafico OBELIX";"1399990";"2";"0";"1"
"582";"https://pesaschile.cl/clon/2/img/p/1/4/8/4/1484.jpg";"MÃ¡quina Polea Alta V8";"V8-522";"Maquinas Alto Trafico OBELIX";"1399990";"3";"0";"1"
"581";"https://pesaschile.cl/clon/2/img/p/1/4/8/3/1483.jpg";"Aperturas V8";"V8-519";"Maquinas Alto Trafico OBELIX";"1399990";"2";"0";"1"
"580";"https://pesaschile.cl/clon/2/img/p/1/4/8/9/1489.jpg";"MÃ¡quina Dominada/Fondo Asistida V8";"V8-517";"Maquinas Alto Trafico OBELIX";"1299990";"1";"0";"1"
"579";"https://pesaschile.cl/clon/2/img/p/1/4/8/8/1488.jpg";"MÃ¡quina Curl Femoral Acostado V8";"V8-514";"Maquinas Alto Trafico OBELIX";"1399990";"1";"0";"1"
"578";"https://pesaschile.cl/clon/2/img/p/1/4/8/7/1487.jpg";"MÃ¡quina Prensa Horizontal V8";"V8-509";"Maquinas Alto Trafico OBELIX";"1499990";"0";"1";"1"
"577";"https://pesaschile.cl/clon/2/img/p/1/4/8/2/1482.jpg";"MÃ¡quina Press de Triceps V8";"V8-508";"Maquinas Alto Trafico OBELIX";"1299990";"1";"0";"1"
"576";"https://pesaschile.cl/clon/2/img/p/1/4/8/1/1481.jpg";"MÃ¡quina Remo Sentado V8";"V8-507";"Maquinas Alto Trafico OBELIX";"1399990";"1";"0";"1"
"575";"https://pesaschile.cl/clon/2/img/p/1/4/8/0/1480.jpg";"MÃ¡quina Curl de Biceps V8";"V8-506";"Maquinas Alto Trafico OBELIX";"1299990";"0";"1";"1"
"574";"https://pesaschile.cl/clon/2/img/p/1/4/7/9/1479.jpg";"MÃ¡quina Press de Pectoral V8";"V8-504";"Maquinas Alto Trafico OBELIX";"1399990";"4";"0";"1"
"573";"https://pesaschile.cl/clon/2/img/p/1/4/7/8/1478.jpg";"MÃ¡quina Press de Hombro V8";"V8-502";"Maquinas Alto Trafico OBELIX";"1399990";"2";"0";"1"
"572";"https://pesaschile.cl/clon/2/img/p/1/4/7/1/1471.jpg";"Banco Abdominal Home PROmachine";"PM381";"Productos";"29990";"40";"0";"1"
"571";"https://pesaschile.cl/clon/2/img/p/1/4/7/7/1477.jpg";"Multi Press / Dominadas PROmachine";"PM012";"Equipamiento";"199990";"20";"0";"1"
"570";"https://pesaschile.cl/clon/2/img/p/1/4/6/3/1463.jpg";"Banco Lumbar PROmachine";"PM1041";"Productos";"149990";"15";"0";"1"
"569";"https://pesaschile.cl/clon/2/img/p/1/7/4/1/1741.jpg";"MÃ¡quina Sissy Promachine";"PM105";"Equipamiento";"79990";"27";"0";"1"
