"2";"26";"32"
"2";"32";"180"
"2";"33";"36"
"2";"34";"39"
"2";"35";"44"
"2";"38";"30"
"2";"43";"47"
"2";"48";"122"
"2";"51";"48"
"2";"54";"49"
"2";"57";"50"
"2";"58";"51"
"2";"60";"194"
"2";"61";"193"
"2";"63";"116"
"2";"65";"115"
"2";"67";"112"
"2";"69";"113"
"2";"71";"114"
"2";"74";"54"
"2";"78";"59"
"2";"87";"105"
"2";"90";"109"
"2";"91";"121"
"2";"97";"130"
"2";"98";"131"
"2";"99";"132"
"2";"100";"133"
"2";"101";"134"
"2";"102";"135"
"2";"109";"62"
"2";"111";"60"
"2";"113";"61"
"2";"117";"171"
"2";"119";"2"
"2";"124";"73"
"2";"128";"111"
"2";"136";"161"
"2";"144";"176"
"2";"145";"177"
"2";"146";"178"
"2";"148";"179"
"2";"150";"25"
"2";"152";"46"
"2";"157";"91"
"2";"159";"45"
"2";"164";"119"
"2";"166";"120"
"2";"168";"190"
"2";"181";"27"
"2";"187";"38"
"2";"190";"66"
"2";"191";"5"
"2";"192";"67"
"2";"193";"52"
"2";"194";"35"
"2";"195";"41"
"2";"205";"162"
"2";"206";"163"
"2";"210";"63"
"2";"211";"64"
"2";"221";"147"
"2";"226";"15"
"2";"233";"43"
"2";"234";"1"
"2";"236";"33"
"2";"240";"53"
"2";"243";"34"
"2";"247";"10"
"2";"248";"14"
"2";"249";"187"
"2";"251";"18"
"2";"253";"55"
"2";"254";"42"
"2";"259";"104"
"2";"263";"56"
"2";"265";"57"
"2";"266";"58"
"2";"267";"11"
"2";"270";"29"
"2";"271";"19"
"2";"272";"26"
"2";"273";"28"
"2";"274";"37"
"2";"275";"117"
"2";"283";"118"
"2";"284";"22"
"2";"288";"20"
"2";"289";"23"
"2";"290";"65"
"2";"291";"21"
"2";"292";"31"
"2";"293";"107"
"2";"296";"16"
"2";"298";"40"
"2";"299";"24"
"2";"300";"68"
"2";"301";"69"
"2";"302";"100"
"2";"303";"70"
"2";"304";"13"
"2";"305";"17"
"2";"306";"71"
"2";"307";"12"
"2";"308";"202"
"2";"311";"72"
"2";"313";"101"
"2";"314";"3"
"2";"316";"103"
"2";"317";"199"
"2";"318";"197"
"2";"319";"198"
"2";"320";"8"
"2";"329";"166"
"2";"330";"167"
"2";"332";"169"
"2";"333";"170"
"2";"334";"168"
"2";"335";"192"
"2";"338";"200"
"2";"339";"74"
"2";"341";"203"
"2";"342";"182"
"2";"344";"6"
"2";"345";"7"
"2";"346";"75"
"2";"347";"76"
"2";"349";"77"
"2";"351";"78"
"2";"352";"79"
"2";"353";"80"
"2";"354";"81"
"2";"359";"173"
"2";"364";"0"
"2";"370";"82"
"2";"371";"4"
"2";"372";"83"
"2";"373";"9"
"2";"374";"98"
